Optimizer,Train Loss,Validation Loss,Test Loss,Train Accuracy,Validation Accuracy,Test Accuracy,Training Time (s)
adam,0.0007286587640398163,0.0033008175037490825,"tensor(0.0056, device='cuda:0')",0.9838125,0.9486666666666667,0.8848,43.58
adamw,0.00027307978328099125,0.0030000326792263272,"tensor(0.0043, device='cuda:0')",0.9957291666666667,0.95725,0.8898,45.42
rmsprop,0.000558046766971529,0.003056136780573676,"tensor(0.0056, device='cuda:0')",0.9890416666666667,0.9538333333333333,0.8861,43.25
